Bot,Trade,Time,Date,Profit,Profit_last_tx,Wallet
Arbitrage[{LIMIT_ARBITRAGE}],Trade 1,10:29:17,2023-04-22,122.44,122.44,"{'USDT': 1000122.4436735839, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 2,10:59:33,2023-04-22,350.57,228.13,"{'USDT': 1000350.5754147765, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 3,11:29:50,2023-04-22,560.69,210.11,"{'USDT': 1000560.6885931996, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 4,12:00:07,2023-04-22,726.38,165.69,"{'USDT': 1000726.3822175367, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 5,12:30:23,2023-04-22,846.93,120.55,"{'USDT': 1000846.9292833107, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 6,13:00:39,2023-04-22,1025.58,178.66,"{'USDT': 1001025.5854660782, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 7,13:30:55,2023-04-22,1148.71,123.13,"{'USDT': 1001148.7128443071, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 8,14:01:11,2023-04-22,1383.07,234.36,"{'USDT': 1001383.0694078362, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 9,14:31:29,2023-04-22,1441.1,58.03,"{'USDT': 1001441.1004155437, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 10,15:01:45,2023-04-22,1620.16,179.06,"{'USDT': 1001620.1627332842, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 11,15:32:01,2023-04-22,1755.08,134.92,"{'USDT': 1001755.0823128932, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 12,16:02:17,2023-04-22,1977.52,222.44,"{'USDT': 1001977.5241407197, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 13,16:32:32,2023-04-22,2096.9,119.37,"{'USDT': 1002096.8960240986, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 14,17:02:48,2023-04-22,2183.61,86.71,"{'USDT': 1002183.6076101384, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 15,17:33:04,2023-04-22,2212.61,29.01,"{'USDT': 1002212.6143715855, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
Arbitrage[{LIMIT_ARBITRAGE}],Trade 16,18:03:19,2023-04-22,2420.95,208.34,"{'USDT': 1002420.952175051, 'BTC': 0, 'ETH': 0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
