Bot,Trade,Time,Date,Profit,Profit_last_tx,Wallet
SMA9_20.csv,Trade 1,20:11:22,2023-04-22,-1889.8,0,"{'USDT': 591.9417999999423, 'BTC': 18.067944142589326, 'ETH': 106.16978437373803, 'BNB': 301.8344306436991, 'LTC': 1148.2072257990344, 'AVAX': 5791.919559164734}"
SMA9_20.csv,Trade 2,23:04:07,2023-04-22,-3639.46,-231.68,"{'USDT': 100212.95821763336, 'BTC': 18.067944142589326, 'ETH': 106.16978437373803, 'BNB': 301.8344306436991, 'LTC': 1148.2072257990344, 'AVAX': 0.0}"
SMA9_20.csv,Trade 3,02:57:18,2023-04-23,-6438.68,-2677.6,"{'USDT': 297342.64365572773, 'BTC': 18.067944142589326, 'ETH': 0.0, 'BNB': 301.8344306436991, 'LTC': 1148.2072257990344, 'AVAX': 0.0}"
SMA9_20.csv,Trade 4,03:27:29,2023-04-23,-4120.03,-907.08,"{'USDT': 396306.6244473465, 'BTC': 18.067944142589326, 'ETH': 0.0, 'BNB': 301.8344306436991, 'LTC': 0.0, 'AVAX': 0.0}"
SMA9_20.csv,Trade 5,05:28:18,2023-04-23,-5002.51,-1216.33,"{'USDT': 895090.2904476675, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 301.8344306436991, 'LTC': 0.0, 'AVAX': 0.0}"
SMA9_20.csv,Trade 6,05:58:29,2023-04-23,-5153.43,-120.73,"{'USDT': 994846.56977541, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA9_20.csv,Trade 7,09:40:41,2023-04-23,-5121.53,0,"{'USDT': 696389.40897541, 'BTC': 0.0, 'ETH': 106.32678565702989, 'BNB': 0.0, 'LTC': 1145.2497617129043, 'AVAX': 0.0}"
SMA9_20.csv,Trade 8,10:41:03,2023-04-23,-4889.12,0,"{'USDT': 596866.6357754101, 'BTC': 0.0, 'ETH': 106.32678565702989, 'BNB': 0.0, 'LTC': 1145.2497617129043, 'AVAX': 5789.573775450843}"
SMA9_20.csv,Trade 9,11:11:18,2023-04-23,-4936.55,0,"{'USDT': 99365.01027541008, 'BTC': 17.962662534485492, 'ETH': 106.32678565702989, 'BNB': 0.0, 'LTC': 1145.2497617129043, 'AVAX': 5789.573775450843}"
SMA9_20.csv,Trade 10,11:41:30,2023-04-23,-6637.99,0,"{'USDT': 28.790875410079025, 'BTC': 17.962662534485492, 'ETH': 106.32678565702989, 'BNB': 299.83766797464534, 'LTC': 1145.2497617129043, 'AVAX': 5789.573775450843}"
SMA9_20.csv,Trade 11,15:12:53,2023-04-23,-7778.77,-1702.5,"{'USDT': 495827.9152203916, 'BTC': 0.0, 'ETH': 106.32678565702989, 'BNB': 299.83766797464534, 'LTC': 1145.2497617129043, 'AVAX': 5789.573775450843}"
SMA9_20.csv,Trade 12,16:13:16,2023-04-23,-7281.9,-309.22,"{'USDT': 595006.5445847291, 'BTC': 0.0, 'ETH': 106.32678565702989, 'BNB': 299.83766797464534, 'LTC': 0.0, 'AVAX': 5789.573775450843}"
SMA9_20.csv,Trade 13,16:43:29,2023-04-23,-7689.98,-149.92,"{'USDT': 694192.8451507417, 'BTC': 0.0, 'ETH': 106.32678565702989, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 5789.573775450843}"
SMA9_20.csv,Trade 14,17:13:41,2023-04-23,-9775.28,-1389.5,"{'USDT': 792326.1206446335, 'BTC': 0.0, 'ETH': 106.32678565702989, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA9_20.csv,Trade 15,17:43:53,2023-04-23,-10263.32,-1558.75,"{'USDT': 989736.6839669015, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA9_20.csv,Trade 16,01:27:48,2023-04-24,-10263.32,0,"{'USDT': 890763.0155669015, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1141.1699342787963, 'AVAX': 0.0}"
SMA9_20.csv,Trade 17,01:58:01,2023-04-24,-9982.87,0,"{'USDT': 395843.32106690155, 'BTC': 17.942892265358616, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1141.1699342787963, 'AVAX': 0.0}"
SMA9_20.csv,Trade 18,02:28:12,2023-04-24,-12984.92,0,"{'USDT': 297125.42506690155, 'BTC': 17.942892265358616, 'ETH': 0.0, 'BNB': 299.23581691421646, 'LTC': 1141.1699342787963, 'AVAX': 0.0}"
SMA9_20.csv,Trade 19,02:58:24,2023-04-24,-4359.96,0,"{'USDT': 98078.19906690152, 'BTC': 17.942892265358616, 'ETH': 106.04766537379594, 'BNB': 299.23581691421646, 'LTC': 1141.1699342787963, 'AVAX': 0.0}"
SMA9_20.csv,Trade 20,03:28:35,2023-04-24,-3827.85,0,"{'USDT': 0.0, 'BTC': 17.942892265358616, 'ETH': 106.04766537379594, 'BNB': 299.23581691421646, 'LTC': 1141.1699342787963, 'AVAX': 5789.740204657704}"
SMA9_20.csv,Trade 21,09:00:45,2023-04-24,-15751.41,-3222.79,"{'USDT': 195824.43744929036, 'BTC': 17.942892265358616, 'ETH': 0.0, 'BNB': 299.23581691421646, 'LTC': 1141.1699342787963, 'AVAX': 5789.740204657704}"
SMA9_20.csv,Trade 22,09:30:58,2023-04-24,-17221.35,-1563.23,"{'USDT': 292339.4066609343, 'BTC': 17.942892265358616, 'ETH': 0.0, 'BNB': 299.23581691421646, 'LTC': 1141.1699342787963, 'AVAX': 0.0}"
SMA9_20.csv,Trade 23,10:01:11,2023-04-24,-17213.84,-2598.14,"{'USDT': 883378.8511255546, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1141.1699342787963, 'AVAX': 0.0}"
SMA9_20.csv,Trade 24,11:31:46,2023-04-24,-17556.19,91.29,"{'USDT': 982443.8131202969, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA9_20.csv,Trade 25,14:32:55,2023-04-24,-17498.5,0,"{'USDT': 884199.4318202969, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 5768.9008396946565}"
SMA9_20.csv,Trade 26,15:33:17,2023-04-24,-17256.79,0,"{'USDT': 687678.8634202968, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 296.12995509342977, 'LTC': 1118.4230514454814, 'AVAX': 5768.9008396946565}"
SMA9_20.csv,Trade 27,16:33:40,2023-04-24,-16001.81,0,"{'USDT': 490849.69742029684, 'BTC': 0.0, 'ETH': 105.40899699564609, 'BNB': 296.12995509342977, 'LTC': 1118.4230514454814, 'AVAX': 5768.9008396946565}"
SMA9_20.csv,Trade 28,17:03:51,2023-04-24,-18928.03,0,"{'USDT': 378.52692029683385, 'BTC': 17.900407682481752, 'ETH': 105.40899699564609, 'BNB': 296.12995509342977, 'LTC': 1118.4230514454814, 'AVAX': 5768.9008396946565}"
