Bot,Trade,Time,Date,Profit,Profit_last_tx,Wallet
SMA20_50.csv,Trade 1,11:02:02,2023-04-23,73.26,0,"{'USDT': 99989.12109999999, 'BTC': 18.036112626144572, 'ETH': 106.6285647262045, 'BNB': 301.67021960784314, 'LTC': 1148.8478012636417, 'AVAX': 0}"
SMA20_50.csv,Trade 2,12:32:37,2023-04-23,-4923.05,-1498.79,"{'USDT': 398497.5322724103, 'BTC': 18.036112626144572, 'ETH': 0.0, 'BNB': 301.67021960784314, 'LTC': 0.0, 'AVAX': 0}"
SMA20_50.csv,Trade 3,14:03:10,2023-04-23,-3178.75,0,"{'USDT': 99451.61847241026, 'BTC': 18.036112626144572, 'ETH': 106.3791210573778, 'BNB': 301.67021960784314, 'LTC': 1147.5077057672386, 'AVAX': 0}"
SMA20_50.csv,Trade 4,17:34:35,2023-04-23,-10199.41,-5060.93,"{'USDT': 594390.6852695141, 'BTC': 0.0, 'ETH': 106.3791210573778, 'BNB': 301.67021960784314, 'LTC': 1147.5077057672386, 'AVAX': 0}"
SMA20_50.csv,Trade 5,18:15:41,2023-04-23,-10653.42,-1136.03,"{'USDT': 692938.6470408045, 'BTC': 0.0, 'ETH': 106.3791210573778, 'BNB': 301.67021960784314, 'LTC': 0.0, 'AVAX': 0}"
SMA20_50.csv,Trade 6,19:16:06,2023-04-23,-8872.62,-362.0,"{'USDT': 792580.3205772751, 'BTC': 0.0, 'ETH': 106.3791210573778, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0}"
SMA20_50.csv,Trade 7,20:27:25,2023-04-23,-10468.31,-2410.55,"{'USDT': 989531.6890941149, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0}"
SMA20_50.csv,Trade 8,06:23:03,2023-04-24,-10434.4,0,"{'USDT': 890578.5201941149, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1130.3766152615947, 'AVAX': 0}"
SMA20_50.csv,Trade 9,06:53:17,2023-04-24,-10267.0,0,"{'USDT': 395688.3341941149, 'BTC': 17.856904722557587, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1130.3766152615947, 'AVAX': 0}"
SMA20_50.csv,Trade 10,07:23:28,2023-04-24,-9359.86,0,"{'USDT': 296621.3543941149, 'BTC': 17.856904722557587, 'ETH': 0.0, 'BNB': 298.39451746987953, 'LTC': 1130.3766152615947, 'AVAX': 0}"
SMA20_50.csv,Trade 11,13:25:50,2023-04-24,-16262.76,-5348.68,"{'USDT': 786162.8617225671, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 298.39451746987953, 'LTC': 1130.3766152615947, 'AVAX': 0}"
SMA20_50.csv,Trade 12,16:27:03,2023-04-24,-14311.67,0,"{'USDT': 687579.5744225672, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 298.39451746987953, 'LTC': 1130.3766152615947, 'AVAX': 5734.9207271669575}"
SMA20_50.csv,Trade 13,08:46:48,2023-04-25,-16676.32,0,"{'USDT': 195891.59992256714, 'BTC': 17.934186981876433, 'ETH': 0.0, 'BNB': 298.39451746987953, 'LTC': 1130.3766152615947, 'AVAX': 5734.9207271669575}"
SMA20_50.csv,Trade 14,11:17:50,2023-04-25,-15242.46,-626.63,"{'USDT': 294331.9512358804, 'BTC': 17.934186981876433, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1130.3766152615947, 'AVAX': 5734.9207271669575}"
SMA20_50.csv,Trade 15,11:48:02,2023-04-25,-17910.35,-1954.65,"{'USDT': 784065.2786967256, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1130.3766152615947, 'AVAX': 5734.9207271669575}"
SMA20_50.csv,Trade 16,12:48:26,2023-04-25,-17986.99,-1261.68,"{'USDT': 881386.8834367489, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1130.3766152615947, 'AVAX': 0.0}"
SMA20_50.csv,Trade 17,14:19:00,2023-04-25,-17500.93,0,"{'USDT': 783136.9762367489, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 1130.3766152615947, 'AVAX': 5755.706338605742}"
SMA20_50.csv,Trade 18,21:02:37,2023-04-25,-16172.16,0,"{'USDT': 684755.3224367489, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 295.52914929408234, 'LTC': 1130.3766152615947, 'AVAX': 5755.706338605742}"
SMA20_50.csv,Trade 19,21:32:48,2023-04-25,-16720.92,0,"{'USDT': 193110.0434367489, 'BTC': 17.8429341810245, 'ETH': 0.0, 'BNB': 295.52914929408234, 'LTC': 1130.3766152615947, 'AVAX': 5755.706338605742}"
SMA20_50.csv,Trade 20,23:33:39,2023-04-25,471.47,0,"{'USDT': 0.0, 'BTC': 17.8429341810245, 'ETH': 103.50596478340394, 'BNB': 295.52914929408234, 'LTC': 1130.3766152615947, 'AVAX': 5755.706338605742}"
SMA20_50.csv,Trade 21,00:13:44,2023-04-27,1018.22,1062.55,"{'USDT': 100015.7229183459, 'BTC': 17.8429341810245, 'ETH': 103.50596478340394, 'BNB': 295.52914929408234, 'LTC': 0.0, 'AVAX': 5755.706338605742}"
SMA20_50.csv,Trade 22,00:43:56,2023-04-27,-6729.65,-886.59,"{'USDT': 197510.78927046366, 'BTC': 17.8429341810245, 'ETH': 103.50596478340394, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 5755.706338605742}"
SMA20_50.csv,Trade 23,01:14:08,2023-04-27,-3073.76,690.68,"{'USDT': 296451.38123109634, 'BTC': 17.8429341810245, 'ETH': 103.50596478340394, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA20_50.csv,Trade 24,04:15:20,2023-04-27,12861.09,4722.98,"{'USDT': 494284.40184091195, 'BTC': 17.8429341810245, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA20_50.csv,Trade 25,04:45:31,2023-04-27,10930.49,25000.81,"{'USDT': 1010930.4864979961, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA20_50.csv,Trade 26,18:51:14,2023-04-27,10930.66,0,"{'USDT': 505465.2434979961, 'BTC': 17.390760725211905, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA20_50.csv,Trade 27,19:51:37,2023-04-27,16619.18,0,"{'USDT': 403803.34309799614, 'BTC': 17.390760725211905, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 5733.8917315284825}"
SMA20_50.csv,Trade 28,20:52:01,2023-04-27,24316.31,0,"{'USDT': 198948.60569799613, 'BTC': 17.390760725211905, 'ETH': 106.05937189038629, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 5733.8917315284825}"
SMA20_50.csv,Trade 29,21:22:15,2023-04-27,19212.64,0,"{'USDT': 97002.76009799613, 'BTC': 17.390760725211905, 'ETH': 106.05937189038629, 'BNB': 0.0, 'LTC': 1136.9002520352403, 'AVAX': 5733.8917315284825}"
SMA20_50.csv,Trade 30,22:22:39,2023-04-27,18229.34,0,"{'USDT': 0.0, 'BTC': 17.390760725211905, 'ETH': 106.05937189038629, 'BNB': 290.16679658389506, 'LTC': 1136.9002520352403, 'AVAX': 5733.8917315284825}"
SMA20_50.csv,Trade 31,06:25:55,2023-04-28,13257.69,-2002.15,"{'USDT': 95000.60920156723, 'BTC': 17.390760725211905, 'ETH': 106.05937189038629, 'BNB': 0.0, 'LTC': 1136.9002520352403, 'AVAX': 5733.8917315284825}"
SMA20_50.csv,Trade 32,15:29:33,2023-04-28,8934.17,-1146.78,"{'USDT': 195515.73125526152, 'BTC': 17.390760725211905, 'ETH': 106.05937189038629, 'BNB': 0.0, 'LTC': 1136.9002520352403, 'AVAX': 0.0}"
SMA20_50.csv,Trade 33,15:59:45,2023-04-28,1014.82,-562.94,"{'USDT': 700418.0353305865, 'BTC': 0.0, 'ETH': 106.05937189038629, 'BNB': 0.0, 'LTC': 1136.9002520352403, 'AVAX': 0.0}"
SMA20_50.csv,Trade 34,16:29:57,2023-04-28,2632.69,-773.09,"{'USDT': 801590.7887592025, 'BTC': 0.0, 'ETH': 106.05937189038629, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
SMA20_50.csv,Trade 35,17:00:09,2023-04-28,1860.58,-4584.95,"{'USDT': 1001860.5795123811, 'BTC': 0.0, 'ETH': 0.0, 'BNB': 0.0, 'LTC': 0.0, 'AVAX': 0.0}"
